iter	Passed	Remaining
403	10914	16102
404	10940	16073
405	10966	16043
406	10989	16012
407	11016	15984
408	11043	15957
409	11074	15936
410	11101	15909
411	11130	15885
412	11156	15857
413	11183	15829
414	11209	15801
415	11236	15774
416	11262	15745
417	11289	15718
418	11316	15691
419	11343	15665
420	11370	15638
421	11396	15609
422	11426	15587
423	11453	15559
424	11479	15531
425	11507	15505
426	11534	15478
427	11560	15449
428	11585	15420
429	11611	15392
430	11638	15364
431	11665	15337
432	11689	15307
433	11715	15278
434	11741	15250
435	11766	15220
436	11792	15192
437	11817	15163
438	11844	15136
439	11870	15107
440	11897	15081
441	11922	15052
442	11952	15027
443	11978	15000
444	12005	14972
445	12032	14946
446	12059	14919
447	12085	14890
448	12114	14866
449	12139	14836
450	12166	14810
451	12191	14780
452	12217	14753
453	12241	14722
454	12266	14693
455	12291	14663
456	12318	14636
457	12345	14609
458	12370	14581
459	12397	14553
460	12423	14524
461	12450	14498
462	12475	14469
463	12499	14438
464	12524	14410
465	12551	14382
466	12575	14352
467	12599	14322
468	12626	14295
469	12654	14269
470	12680	14242
471	12705	14212
472	12729	14183
473	12754	14154
474	12779	14125
475	12805	14096
476	12831	14069
477	12858	14041
478	12884	14014
479	12914	13990
480	12938	13960
481	12964	13932
482	12988	13903
483	13013	13873
484	13038	13845
485	13063	13816
486	13090	13789
487	13116	13761
488	13142	13733
489	13169	13707
490	13193	13677
491	13217	13647
492	13242	13618
493	13266	13588
494	13293	13561
495	13317	13531
496	13344	13505
497	13369	13476
498	13393	13447
499	13421	13421
500	13443	13390
501	13468	13361
502	13492	13331
503	13517	13303
504	13543	13275
505	13568	13246
506	13593	13218
507	13618	13189
508	13643	13161
509	13669	13133
510	13695	13105
511	13724	13080
512	13748	13051
513	13772	13022
514	13796	12992
515	13822	12964
516	13848	12937
517	13875	12910
518	13901	12883
519	13926	12855
520	13953	12828
521	13980	12802
522	14007	12775
523	14032	12747
524	14057	12718
525	14081	12689
526	14107	12661
527	14133	12634
528	14158	12606
529	14183	12577
530	14208	12549
531	14235	12522
532	14259	12493
533	14284	12465
534	14310	12438
535	14337	12411
536	14362	12383
537	14389	12356
538	14415	12329
539	14440	12300
540	14466	12273
541	14493	12247
542	14519	12219
543	14545	12192
544	14568	12162
545	14593	12134
546	14621	12108
547	14645	12079
548	14673	12053
549	14700	12027
550	14724	11998
551	14750	11971
552	14775	11943
553	14799	11914
554	14827	11888
555	14853	11861
556	14880	11834
557	14906	11807
558	14930	11779
559	14957	11752
560	14982	11724
561	15008	11697
562	15034	11670
563	15058	11641
564	15084	11613
565	15112	11588
566	15138	11560
567	15163	11533
568	15190	11506
569	15219	11481
570	15245	11454
571	15271	11426
572	15299	11401
573	15325	11373
574	15349	11345
575	15374	11317
576	15400	11289
577	15426	11262
578	15452	11235
579	15480	11209
580	15505	11182
581	15532	11155
582	15559	11128
583	15584	11101
584	15611	11074
585	15637	11047
586	15663	11020
587	15688	10992
588	15715	10966
589	15742	10939
590	15766	10911
591	15792	10883
592	15815	10855
593	15841	10827
594	15869	10801
595	15897	10775
596	15922	10748
597	15949	10721
598	15974	10694
599	16000	10667
600	16028	10641
601	16052	10613
602	16091	10593
603	16117	10566
604	16143	10540
605	16172	10514
606	16200	10488
607	16229	10463
608	16256	10437
609	16284	10411
610	16312	10385
611	16337	10357
612	16363	10330
613	16389	10303
614	16418	10278
615	16444	10251
616	16473	10225
617	16498	10198
618	16527	10172
619	16552	10145
620	16577	10117
621	16602	10089
622	16629	10063
623	16655	10035
624	16680	10008
625	16707	9981
626	16732	9954
627	16757	9926
628	16784	9900
629	16810	9872
630	16835	9845
631	16861	9818
632	16886	9790
633	16913	9764
634	16938	9736
635	16964	9709
636	16988	9680
637	17015	9654
638	17041	9627
639	17069	9601
640	17092	9572
641	17120	9546
642	17146	9519
643	17172	9493
644	17199	9466
645	17223	9438
646	17249	9411
647	17274	9383
648	17302	9357
649	17328	9330
650	17352	9302
651	17380	9276
652	17405	9249
653	17429	9221
654	17455	9194
655	17481	9166
656	17508	9140
657	17535	9114
658	17563	9088
659	17588	9060
660	17613	9033
661	17639	9006
662	17663	8978
663	17688	8950
664	17713	8923
665	17738	8895
666	17762	8867
667	17790	8841
668	17814	8814
669	17839	8786
670	17866	8760
671	17894	8734
672	17921	8707
673	17945	8679
674	17968	8651
675	17993	8624
676	18018	8596
677	18042	8568
678	18066	8541
679	18091	8513
680	18118	8487
681	18143	8460
